id,user,location,geo_enabled,geo,coordinates,text,created_at
1466242649921314800,1043911579211886600,"Pembroke Pines, FL",True,"{'type': 'Point', 'coordinates': [26.20453, -80.17578]}","{'type': 'Point', 'coordinates': [-80.17578, 26.20453]}",Gibbons Football on Track - State Championship Fight - Go Chiefs!!!! @cardinalgibbonsfootball   @cghsfl   @adidas   @adidasfootball  #nikon   #nikonphotography   #nikond6   #nikkor @ CCA Calvary Christian Academy https://t.co/UmUX9Zotch,Thu Dec 02 03:07:43 +0000 2021
1466462730660028400,87762811,"Stamford, CT",True,"{'type': 'Point', 'coordinates': [41.15, -73.775]}","{'type': 'Point', 'coordinates': [-73.775, 41.15]}","#manbun #glasses #beard #dominican #american ##dominicanrepublic #usa #hm #zara #yezzy700 #adidas #apple #iphone #bathroom #selfie #gq #plussize #bigboy 
@hm_man @zaraman @yeezymafia @adidas https://t.co/NyWyEScrHa",Thu Dec 02 17:42:15 +0000 2021
1466468021095080000,22059707,"Houston, TX",True,"{'type': 'Point', 'coordinates': [29.71693126, -95.4152697]}","{'type': 'Point', 'coordinates': [-95.4152697, 29.71693126]}","Available In Store &amp; Online https://t.co/x1jcOitpeg
@nike Sock Collection
*Curbside pick up available* @ premiumgoods. https://t.co/80wsh7lQ8S",Thu Dec 02 18:03:16 +0000 2021
1466544489053540400,481819553,"Los Angeles, New York",True,"{'type': 'Point', 'coordinates': [34.0564, -118.2445]}","{'type': 'Point', 'coordinates': [-118.2445, 34.0564]}","Whose world is it? Whose world is it? It’s mine, it’s mine, it’s mine.—Illmatic, Nas. rattlers orange by @istolemyboyfriendsshirt sweats by @redone Air Jordan 4’s @nike #liveanddieinla @ Los Angeles, California https://t.co/ObPBWFvSrq",Thu Dec 02 23:07:07 +0000 2021
1466556963743932400,32739519,"Philadelphia, PA",True,"{'type': 'Point', 'coordinates': [40.02732988, -75.15626822]}","{'type': 'Point', 'coordinates': [-75.15626822, 40.02732988]}",Fully on black from my personal rack #snkrskickcheck #sneakerheads #sneakers #kicks #moto #bikelife @nike @nikesb #youngboss #biker #phillystyle #latino @ Nicetown North Philly https://t.co/B6OHdt2FLo,Thu Dec 02 23:56:42 +0000 2021
1466818761156178000,1043911579211886600,"Pembroke Pines, FL",True,"{'type': 'Point', 'coordinates': [26.03076736, -80.37468361]}","{'type': 'Point', 'coordinates': [-80.37468361, 26.03076736]}",Pines Charter Bball on the Move for another State Championship 💫  @pines_charter_jaguarbasketball   @nike   @nikebasketball  #nikon   #nikonphotography   #nikond6   #nikkor @ City/Pembroke Pines Charter High School https://t.co/mdYbEnbxjs,Fri Dec 03 17:16:59 +0000 2021
1466828509716922400,216616485,"Brooklyn, NY.  Home of Hov!",True,"{'type': 'Point', 'coordinates': [40.660925, -73.877569]}","{'type': 'Point', 'coordinates': [-73.877569, 40.660925]}","BROOKLYN, NY - wow!  @nike 1 year in my neighborhood - EAST NEW YORK. #justdoit #nike #gateway #gatewaymall #brooklyn #eastnewyork @ East New York https://t.co/w8vEs95RjJ",Fri Dec 03 17:55:43 +0000 2021
1466944347643986000,29935413,San Francisco,True,"{'type': 'Point', 'coordinates': [45.58828941, -122.59481775]}","{'type': 'Point', 'coordinates': [-122.59481775, 45.58828941]}",home for the #weekend✈️ #sanfrancisco #bayarea #mood #vibes #tgif #itravelforwork #airmax #onassignment #locumlife #portland @louisvuitton @nike @wearfigs @ Portland International Airport https://t.co/r39yMpPZYJ,Sat Dec 04 01:36:01 +0000 2021
1467193347844587500,3258049136,DMV,True,"{'type': 'Point', 'coordinates': [38.8951, -77.0367]}","{'type': 'Point', 'coordinates': [-77.0367, 38.8951]}","𝗙𝗼𝗿𝗲𝘃𝗲𝗿 𝗼𝗻 𝘀𝗼𝗺𝗲 𝗳𝗹𝘆 𝘀𝗵*𝘁!

Top: @forever21 
Pants &amp; hat: @cottonon 
Shoe: @nike 
Mask: @amazon 
Bag: Philly boutique 

#simplefits
#prettyphresh #phreshkicks #capturedfits
#peerlessmagazine #graphictees @ DMV https://t.co/Idn5eY2EQc",Sat Dec 04 18:05:27 +0000 2021
1467251489685098500,3820733896,"Queens, NY",True,"{'type': 'Point', 'coordinates': [40.7, -73.8309]}","{'type': 'Point', 'coordinates': [-73.8309, 40.7]}","Keep forgetting this is a new page so here’s some old flicks @fearofgod @nike 
.
.
#FearOfGod #FOG @ Queens, New York https://t.co/SyZu67c6AC",Sat Dec 04 21:56:30 +0000 2021
1467369880789917700,2593842510,"Los Angeles, CA",True,"{'type': 'Point', 'coordinates': [34.0175, -118.38611111]}","{'type': 'Point', 'coordinates': [-118.38611111, 34.0175]}","H A P P I N E S S🗣🔒🤞🏾
______________
MY BOYS🤟🏾💪🏾
Shoots📲: @simpleethai 

#nike #nikelosangeles  #simpsons #bart #bartsimpson #jordan1 #fashionnova #fashionnovamen #nikekids 
@nike @nikelosangeles @fashionnova @novamen https://t.co/jUB3b0kgti",Sun Dec 05 05:46:56 +0000 2021
1467564351569735700,19002726,"San Bernardino, CA.",True,"{'type': 'Point', 'coordinates': [33.986491, -117.379718]}","{'type': 'Point', 'coordinates': [-117.379718, 33.986491]}",DT riverside with @ihateyougeorgie last night. 💥💥💥 #richdad #riverside #snkrskickcheck @nike @ Downtown Riverside https://t.co/qu2GKlgAKf,Sun Dec 05 18:39:42 +0000 2021
1467650425260286000,1043911579211886600,"Pembroke Pines, FL",True,"{'type': 'Point', 'coordinates': [26.18437, -80.10892]}","{'type': 'Point', 'coordinates': [-80.10892, 26.18437]}",Gibbons Football - I can see State Championship Real from my position @cardinalgibbonsfootball   @cghsfl  @adidas   @adidasfootball   #nikon   #nikonphotography   #nikond6   #nikkor @ Cardinal Gibbons High School FTL https://t.co/RuBqPqdCM8,Mon Dec 06 00:21:43 +0000 2021
